lineClears, score, level
180, 713640, 24
194, 798080, 25
86, 346560, 18
48, 157320, 18
14, 50540, 18
109, 460560, 18
89, 366320, 18
232, 1026300, 29
212, 893660, 27
230, 910220, 29
25, 60040, 18
33, 144400, 18
233, 946240, 29
190, 715400, 25
232, 975140, 29
23, 77520, 18
169, 620320, 22
230, 995260, 29
187, 784960, 24
230, 1007960, 29
126, 470440, 18
232, 999340, 29
72, 276640, 18
147, 639000, 20
152, 528420, 21
40, 169480, 18
162, 632940, 22
162, 635440, 22
54, 219260, 18
232, 993960, 29
231, 1050280, 29
230, 903580, 29
218, 947960, 27
90, 335160, 18
9, 6840, 18
38, 132620, 18
18, 73340, 18
231, 993080, 29
68, 309320, 18
199, 841940, 25
54, 201020, 18
37, 127680, 18
79, 321860, 18
89, 301340, 18
216, 905640, 27
231, 1028420, 29
200, 858380, 26
230, 994280, 29
57, 205960, 18
21, 75620, 18
28, 45600, 18
14, 50920, 18
37, 112100, 18
230, 898880, 29
55, 240160, 18
27, 103360, 18
232, 1113600, 29
203, 737060, 26
234, 920540, 29
89, 388360, 18
10, 47120, 18
147, 547200, 20
89, 316540, 18
231, 1072580, 29
147, 594660, 20
89, 368980, 18
231, 1050820, 29
179, 716960, 23
125, 444220, 18
233, 1007520, 29
230, 963200, 29
82, 247000, 18
155, 588020, 21
230, 1070620, 29
232, 1006760, 29
231, 904600, 29
184, 675640, 24
115, 426360, 18
230, 952120, 29
60, 250800, 18
132, 451500, 19
142, 516220, 20
41, 96900, 18
207, 847100, 26
89, 385320, 18
232, 895700, 29
118, 457900, 18
161, 579000, 22
88, 384940, 18
41, 170240, 18
70, 184680, 18
89, 315400, 18
89, 404320, 18
65, 286900, 18
125, 554800, 18
231, 1023380, 29
172, 654120, 23
230, 998920, 29
234, 851920, 29
83, 322240, 18
230, 906320, 29
154, 589120, 21
230, 879840, 29
231, 990360, 29
89, 368980, 18
88, 384560, 18
201, 897700, 26
8, 26220, 18
166, 534780, 22
231, 1027820, 29
89, 384560, 18
230, 928400, 29
230, 915740, 29
43, 174800, 18
64, 202540, 18
89, 346560, 18
184, 746760, 24
230, 915400, 29
50, 198360, 18
24, 58900, 18
51, 216980, 18
232, 989360, 29
230, 979680, 29
232, 1139620, 29
67, 215460, 18
159, 672400, 21
142, 553420, 20
80, 358340, 18
233, 1074140, 29
89, 315400, 18
233, 959480, 29
231, 986260, 29
142, 626500, 20
230, 958700, 29
232, 1096300, 29
89, 365940, 18
230, 997160, 29
114, 447640, 18
230, 1023060, 29
180, 617160, 24
232, 996800, 29
231, 1055760, 29
231, 817760, 29
89, 365940, 18
233, 971840, 29
231, 917640, 29
94, 322240, 18
231, 968920, 29
36, 127300, 18
70, 294500, 18
230, 1070680, 29
230, 824500, 29
234, 973900, 29
233, 957440, 29
149, 602620, 20
145, 504900, 20
234, 941660, 29
232, 1011460, 29
233, 846160, 29
45, 192660, 18
230, 1031020, 29
72, 237880, 18
184, 682000, 24
111, 391400, 18
230, 968620, 29
42, 119320, 18
231, 907580, 29
2, 1520, 18
140, 587620, 20
33, 90060, 18
198, 828900, 25
47, 162260, 18
195, 780820, 25
26, 80180, 18
233, 944540, 29
230, 898700, 29
136, 543600, 19
200, 765620, 26
137, 546080, 19
151, 619440, 21
234, 1036280, 29
44, 79040, 18
207, 941060, 26
63, 247380, 18
142, 496720, 20
44, 117420, 18
175, 723460, 23
17, 91960, 18
227, 990680, 28
89, 347320, 18
206, 944200, 26
233, 1041280, 29
200, 765440, 26
233, 1082420, 29
10, 27360, 18
177, 740800, 23
234, 952660, 29
232, 999100, 29
194, 805380, 25
230, 953120, 29
231, 1018640, 29
233, 1058360, 29
52, 205200, 18
156, 624700, 21
2, 1520, 18
230, 1073060, 29
233, 980540, 29
120, 488680, 18
182, 799320, 24
67, 231420, 18
230, 1023980, 29
45, 122360, 18
233, 985880, 29
160, 597720, 22
21, 79040, 18
91, 407740, 18
160, 676860, 22
232, 961400, 29
41, 132240, 18
119, 457140, 18
230, 1015660, 29
230, 1056940, 29
102, 326420, 18
230, 883420, 29
230, 975640, 29
162, 634500, 22
221, 1086160, 28
133, 564860, 19
230, 1062040, 29
230, 933960, 29
231, 926960, 29
89, 348840, 18
230, 975180, 29
160, 580060, 22
203, 790060, 26
50, 197600, 18
157, 611020, 21
152, 598000, 21
150, 584220, 21
233, 835360, 29
171, 607460, 23
81, 264480, 18
27, 100320, 18
232, 1058060, 29
88, 346180, 18
162, 597420, 22
60, 247760, 18
170, 656500, 23
230, 965520, 29
230, 892520, 29

